ID,CommitCount#Lab1,CommitCount#Lab2,CommitCount#Lab3,CommitCount#Lab4,CommitCount#Lab5,CommitCount#Total,Failed#Lab1,Failed#Lab2,Failed#Lab3,Failed#Lab4,Failed#Lab5,Failed#Total,Passed#Lab1,Passed#Lab2,Passed#Lab3,Passed#Lab4,Passed#Lab5,Passed#Total,Error#Lab1,Error#Lab2,Error#Lab3,Error#Lab4,Error#Lab5,Error#Total,Done#Lab1 ,Done#Lab2,Done#Lab3,Done#Lab4,Done#Lab5,Done#Total ,Dropout#Lab2,Dropout#Lab3,Dropout#Lab4,Dropout#Lab5,ActiveDays#Lab1,ActiveDays#Lab2 ,ActiveDays#Lab3,ActiveDays#Lab4,ActiveDays#Lab5,ActiveDays#Total,CommitsPerDay#Lab1,CommitsPerDay#Lab2,CommitsPerDay#Lab3,CommitsPerDay#Lab4,CommitsPerDay#Lab5,CommitsPerDay#Total
134806,0.037037037037037035,0.058823529411764705,0.06666666666666667,0.05263157894736842,0.05555555555555555,0.046875,0.125,0.125,0.09090909090909091,0.06666666666666667,0.047619047619047616,0.1020408163265306,0.07142857142857142,0.0625,0.058823529411764705,0.0625,0.045454545454545456,0.06578947368421052,0.125,0.07142857142857142,0.0625,0.06666666666666667,0.045454545454545456,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141133,0.1111111111111111,0.0,0.0,0.0,0.0,0.015625,0.125,0.0,0.0,0.0,0.0,0.020408163265306117,0.4285714285714285,0.0,0.0,0.0,0.0,0.07894736842105263,0.375,0.0,0.0,0.0,0.0,0.07894736842105263,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.08333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.04
141699,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.020408163265306117,0.5714285714285714,0.0,0.0,0.0,0.0,0.10526315789473684,0.125,0.0,0.0,0.0,0.0,0.02631578947368421,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.041666666666666664,0.1111111111111111,0.0,0.0,0.0,0.0,0.04
148194,0.1111111111111111,0.35294117647058826,0.26666666666666666,0.15789473684210525,0.0,0.21875,1.0,1.0,0.36363636363636365,0.7999999999999999,0.0,0.6530612244897959,0.07142857142857142,0.125,0.7647058823529411,0.25,0.0,0.2631578947368421,0.125,0.5,0.0625,0.06666666666666667,0.0,0.2631578947368421,1.0,1.0,1.0,1.0,0.0,0.8,0.0,0.0,0.0,1.0,0.25,0.5,0.25,0.3333333333333333,0.0,0.41666666666666663,0.1111111111111111,0.1,0.1111111111111111,0.125,0.0,0.16
159955,0.037037037037037035,0.058823529411764705,0.06666666666666667,0.05263157894736842,0.05555555555555555,0.046875,0.125,0.125,0.09090909090909091,0.06666666666666667,0.047619047619047616,0.1020408163265306,0.07142857142857142,0.0625,0.058823529411764705,0.0625,0.045454545454545456,0.06578947368421052,0.125,0.07142857142857142,0.0625,0.06666666666666667,0.045454545454545456,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171324,0.037037037037037035,0.058823529411764705,0.06666666666666667,0.05263157894736842,0.05555555555555555,0.046875,0.125,0.125,0.09090909090909091,0.06666666666666667,0.047619047619047616,0.1020408163265306,0.07142857142857142,0.0625,0.058823529411764705,0.0625,0.045454545454545456,0.06578947368421052,0.125,0.07142857142857142,0.0625,0.06666666666666667,0.045454545454545456,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171798,0.037037037037037035,0.058823529411764705,0.06666666666666667,0.05263157894736842,0.05555555555555555,0.046875,0.125,0.125,0.09090909090909091,0.06666666666666667,0.047619047619047616,0.1020408163265306,0.07142857142857142,0.0625,0.058823529411764705,0.0625,0.045454545454545456,0.06578947368421052,0.125,0.07142857142857142,0.0625,0.06666666666666667,0.045454545454545456,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171997,0.037037037037037035,0.058823529411764705,0.06666666666666667,0.05263157894736842,0.05555555555555555,0.046875,0.125,0.125,0.09090909090909091,0.06666666666666667,0.047619047619047616,0.1020408163265306,0.07142857142857142,0.0625,0.058823529411764705,0.0625,0.045454545454545456,0.06578947368421052,0.125,0.07142857142857142,0.0625,0.06666666666666667,0.045454545454545456,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172546,0.037037037037037035,0.058823529411764705,0.06666666666666667,0.05263157894736842,0.05555555555555555,0.046875,0.125,0.125,0.09090909090909091,0.06666666666666667,0.047619047619047616,0.1020408163265306,0.07142857142857142,0.0625,0.058823529411764705,0.0625,0.045454545454545456,0.06578947368421052,0.125,0.07142857142857142,0.0625,0.06666666666666667,0.045454545454545456,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173333,0.037037037037037035,0.058823529411764705,0.06666666666666667,0.05263157894736842,0.05555555555555555,0.046875,0.125,0.125,0.09090909090909091,0.06666666666666667,0.047619047619047616,0.1020408163265306,0.07142857142857142,0.0625,0.058823529411764705,0.0625,0.045454545454545456,0.06578947368421052,0.125,0.07142857142857142,0.0625,0.06666666666666667,0.045454545454545456,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
