ID,CommitCount#Lab1,CommitCount#Lab2,CommitCount#Lab3,CommitCount#Lab4,CommitCount#Lab5,CommitCount#Total,Failed#Lab1,Failed#Lab2,Failed#Lab3,Failed#Lab4,Failed#Lab5,Failed#Total,Passed#Lab1,Passed#Lab2,Passed#Lab3,Passed#Lab4,Passed#Lab5,Passed#Total,Error#Lab1,Error#Lab2,Error#Lab3,Error#Lab4,Error#Lab5,Error#Total,Done#Lab1 ,Done#Lab2,Done#Lab3,Done#Lab4,Done#Lab5,Done#Total ,Dropout#Lab2,Dropout#Lab3,Dropout#Lab4,Dropout#Lab5,ActiveDays#Lab1,ActiveDays#Lab2 ,ActiveDays#Lab3,ActiveDays#Lab4,ActiveDays#Lab5,ActiveDays#Total,CommitsPerDay#Lab1,CommitsPerDay#Lab2,CommitsPerDay#Lab3,CommitsPerDay#Lab4,CommitsPerDay#Lab5,CommitsPerDay#Total,LOOP#Survey1,LOCAL#Survey1,INCREMENT#Survey1,TMPLOOP#Survey1,PRECISION#Survey1,ARGBYREF#Survey1,OBJVIS#Survey2,STREQ#Survey2,ARYINI#Survey2,ARYLEN#Survey2,ARYINI2#Survey2,INHVIS#Survey3,INHSUB#Survey3,INHOVRD#Survey3,INHOVRD2#Survey3,UPCAST#Survey3,UPCAST2#Survey3,CMP#Survey3,OVRD#Survey3,DWNCAST#Survey3,BVRPAR#Survey3,CFLIST#Survey4,CFFOR#Survey4,CLSORT#Survey4,CFSORT2#Survey4,CFSORT3#Survey4,CFMAP#Survey4,CFMAP2#Survey4,CFMAP3#Survey4,CFMAP4#Survey4,CorrectAnswer#Survey1,CorrectAnswer#Survey2,CorrectAnswer#Survey3,CorrectAnswer#Survey4,CorrectAnswer#Total,Done#Survey1,Done#Survey2,Done#Survey3,Done#Survey4,DoneSurvey#Total,Dropout#Survey2,Dropout#Survey3,Dropout#Survey4,Attempts,Attempts Pass,Attempts Fail
141133,0.07692307692307693,0.0,0.0,0.0,0.0,0.032786885245901634,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.07042253521126761,0.2857142857142857,0.0,0.0,0.0,0.0,0.060606060606060615,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.08695652173913042,0.1111111111111111,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.13333333333333333,1.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0,0,0
141699,0.038461538461538464,0.0,0.0,0.0,0.0,0.016393442622950817,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615385,0.0,0.0,0.0,0.0,0.09859154929577467,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.043478260869565216,0.1111111111111111,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6000000000000001,0.0,0.0,0.2333333333333333,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0,0,0
148194,0.07692307692307693,0.3125,0.21428571428571427,0.1111111111111111,0.0,0.19672131147540986,1.0,1.0,0.30000000000000004,0.7857142857142857,0.0,0.6363636363636364,0.0,0.06666666666666668,0.75,0.2,0.0,0.22535211267605634,0.0,0.4615384615384616,0.0,0.0,0.0,0.18181818181818185,1.0,1.0,1.0,1.0,0.0,0.8,0.0,0.0,0.0,1.0,0.25,0.5,0.25,0.3333333333333333,0.0,0.43478260869565216,0.1111111111111111,0.1,0.1111111111111111,0.125,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
180886,0.038461538461538464,0.0,0.0,0.0,0.0,0.016393442622950817,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615385,0.0,0.0,0.0,0.0,0.09859154929577467,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.043478260869565216,0.1111111111111111,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.6666666666666666,0.7666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
182803,0.038461538461538464,0.0,0.0,0.0,0.0,0.016393442622950817,0.7142857142857142,0.0,0.0,0.0,0.0,0.11363636363636365,0.15384615384615385,0.0,0.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.043478260869565216,0.1111111111111111,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.6000000000000001,0.1,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
183521,0.038461538461538464,0.0,0.0,0.0,0.0,0.016393442622950817,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615385,0.0,0.0,0.0,0.0,0.09859154929577467,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.043478260869565216,0.1111111111111111,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.8,0.0,0.0,0.3,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0,0,0
185493,0.15384615384615385,0.125,0.07142857142857142,0.0,0.0,0.11475409836065575,0.2857142857142857,0.0,0.4,0.0,0.0,0.13636363636363635,0.38461538461538464,0.0,0.0,0.0,0.0,0.07042253521126761,0.0,0.0,0.7333333333333333,0.0,0.0,0.3636363636363637,1.0,1.0,1.0,0.0,0.0,0.6000000000000001,0.0,0.0,1.0,0.0,0.25,0.125,0.125,0.0,0.0,0.13043478260869565,0.2222222222222222,0.2,0.1111111111111111,0.0,0.0,0.2857142857142857,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0,0,0
186636,0.0,0.3125,0.0,0.0,0.0,0.0819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333332,0.0,0.0,0.0,0.1971830985915493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.13043478260869565,0.0,0.1,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
193808,0.038461538461538464,0.0,0.0,0.0,0.0,0.016393442622950817,0.42857142857142855,0.0,0.0,0.0,0.0,0.06818181818181818,0.3076923076923077,0.0,0.0,0.0,0.0,0.056338028169014086,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.043478260869565216,0.1111111111111111,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
194148,0.2307692307692308,0.0,0.0,0.0,0.0,0.09836065573770493,0.0,0.0,0.0,0.0,0.0,0.0,0.2307692307692308,0.0,0.0,0.0,0.0,0.04225352112676056,0.5714285714285714,0.0,0.0,0.0,0.0,0.12121212121212123,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.17391304347826084,0.1111111111111111,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.8888888888888888,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
